,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
33068,7000,7000.0,7.9,36,wedding,20.72%,CT,RENT,6000.0,717.0,9.0,6659.0,0.0,< 1 year
1342,3000,1647.62,10.2,36,major_purchase,0.33%,CT,RENT,4583.33,802.0,3.0,37.0,0.0,< 1 year
31200,28000,28000.0,15.62,36,debt_consolidation,5.70%,GA,MORTGAGE,6250.0,697.0,6.0,11923.0,1.0,3 years
10264,15200,6800.0,15.58,60,home_improvement,19.22%,DC,MORTGAGE,12083.33,692.0,20.0,19712.0,2.0,2 years
49920,15775,15775.0,14.65,36,other,3.37%,NY,RENT,4000.0,712.0,11.0,4058.0,1.0,10+ years
30441,30000,22425.0,10.59,36,home_improvement,8.15%,MN,MORTGAGE,22916.67,767.0,13.0,1945.0,0.0,4 years
33148,3000,3000.0,9.91,36,wedding,4.75%,IL,OWN,4166.67,712.0,9.0,7321.0,3.0,6 years
79022,15350,15350.0,18.49,36,debt_consolidation,15.09%,GA,MORTGAGE,4400.0,672.0,7.0,12823.0,0.0,10+ years
45222,26500,26500.0,9.76,60,small_business,17.19%,NY,MORTGAGE,5416.67,787.0,13.0,9966.0,0.0,10+ years
22768,6400,6400.0,6.0,60,home_improvement,3.09%,FL,MORTGAGE,6250.0,697.0,5.0,241.0,0.0,3 years
96412,13200,13200.0,14.33,36,debt_consolidation,28.75%,CA,RENT,3833.33,697.0,9.0,8568.0,1.0,10+ years
29340,12000,12000.0,11.49,36,debt_consolidation,17.73%,CA,MORTGAGE,7300.0,707.0,9.0,38342.0,0.0,4 years
73863,4000,4000.0,6.03,36,car,33.67%,GA,MORTGAGE,7917.0,802.0,19.0,55123.0,1.0,10+ years
32269,2500,2500.0,6.62,36,home_improvement,10.96%,MD,MORTGAGE,6166.67,732.0,14.0,24495.0,0.0,10+ years
45097,28000,27925.0,18.55,36,debt_consolidation,8.99%,LA,MORTGAGE,6666.67,702.0,6.0,14189.0,2.0,n/a
62353,9000,8975.0,8.9,36,debt_consolidation,7.33%,CA,RENT,12500.0,732.0,4.0,12964.0,0.0,5 years
53042,6600,6600.0,6.03,36,home_improvement,16.69%,NC,MORTGAGE,6250.0,752.0,14.0,17258.0,0.0,10+ years
92363,27050,27050.0,17.27,60,credit_card,27.59%,WA,MORTGAGE,5025.0,707.0,13.0,40037.0,1.0,10+ years
27374,4800,4800.0,15.99,36,major_purchase,0%,IL,RENT,4583.33,677.0,2.0,0.0,0.0,6 years
67953,7550,7550.0,10.16,36,debt_consolidation,3.83%,CA,MORTGAGE,8333.33,712.0,10.0,10204.0,0.0,2 years
5880,10000,10000.0,7.74,36,debt_consolidation,0.17%,OR,MORTGAGE,7083.33,777.0,9.0,2994.0,0.0,10+ years
3031,12500,12275.0,11.26,36,credit_card,12.21%,TX,RENT,4333.33,732.0,6.0,12568.0,2.0,8 years
92244,27575,27575.0,19.05,36,debt_consolidation,19.30%,WI,RENT,5166.67,662.0,6.0,14935.0,1.0,10+ years
61500,20000,20000.0,13.11,36,debt_consolidation,3.94%,IL,MORTGAGE,7238.92,722.0,6.0,11751.0,3.0,10+ years
7002,15000,14900.0,14.61,36,major_purchase,9.17%,TX,RENT,3000.0,732.0,8.0,0.0,2.0,< 1 year
53002,18000,18000.0,8.9,36,home_improvement,12.79%,NV,MORTGAGE,10500.0,732.0,15.0,4856.0,2.0,< 1 year
32737,5400,5375.0,8.9,36,small_business,6.27%,OH,RENT,3000.0,787.0,2.0,90.0,2.0,n/a
47286,23000,22950.0,15.81,36,credit_card,16.02%,CA,RENT,7083.33,697.0,8.0,9664.0,2.0,4 years
16577,8000,7950.0,5.79,36,home_improvement,19.65%,FL,OWN,5833.33,772.0,8.0,0.0,0.0,3 years
35530,3000,2950.0,12.69,36,debt_consolidation,4.25%,SC,OWN,1200.0,707.0,4.0,1643.0,0.0,< 1 year
23575,7200,7200.0,6.92,36,credit_card,11.72%,RI,MORTGAGE,7083.33,782.0,6.0,15933.0,1.0,3 years
99508,15350,15350.0,15.8,36,credit_card,7.41%,CO,MORTGAGE,5666.67,672.0,6.0,8128.0,0.0,1 year
72670,6000,6000.0,12.12,36,wedding,21.21%,GA,RENT,3333.33,687.0,8.0,4638.0,0.0,2 years
2882,15000,8081.65,13.16,36,debt_consolidation,13.16%,GA,MORTGAGE,2583.33,757.0,3.0,4923.0,2.0,9 years
20093,5000,5000.0,12.68,60,moving,12.59%,NY,RENT,4416.67,692.0,13.0,7686.0,0.0,< 1 year
9020,2575,2575.0,6.76,36,educational,4.80%,MA,RENT,6875.0,762.0,6.0,4678.0,2.0,3 years
52639,1800,1800.0,13.67,36,vacation,24.21%,NY,RENT,4250.0,672.0,11.0,5757.0,0.0,5 years
76348,10000,10000.0,14.09,36,other,26.44%,WA,MORTGAGE,5416.67,702.0,6.0,18652.0,1.0,6 years
57727,7750,7750.0,10.74,36,debt_consolidation,6.51%,UT,MORTGAGE,2916.67,707.0,5.0,6889.0,0.0,6 years
91915,12000,12000.0,16.29,36,debt_consolidation,28.76%,CT,RENT,5666.67,662.0,21.0,16822.0,2.0,3 years
97696,10000,10000.0,6.03,36,debt_consolidation,16%,KY,MORTGAGE,8333.33,782.0,11.0,14832.0,0.0,10+ years
51525,4950,4950.0,13.67,36,debt_consolidation,14.11%,CA,MORTGAGE,4166.67,667.0,15.0,8379.0,0.0,5 years
41626,8400,8350.0,6.03,36,medical,15.34%,WA,MORTGAGE,3200.0,762.0,6.0,10576.0,0.0,n/a
71634,3500,3500.0,12.12,36,other,17.82%,CA,MORTGAGE,5416.67,697.0,15.0,4067.0,3.0,< 1 year
51795,12000,12000.0,16.29,36,credit_card,18.37%,TX,MORTGAGE,7083.33,667.0,16.0,16993.0,2.0,7 years
73201,18000,18000.0,22.47,60,credit_card,17.17%,OH,MORTGAGE,5562.92,662.0,13.0,14866.0,3.0,7 years
31566,14675,14650.0,12.99,60,debt_consolidation,29.18%,FL,RENT,3167.0,727.0,7.0,21088.0,1.0,6 years
90826,13000,13000.0,14.09,36,credit_card,16.09%,CT,RENT,3250.0,677.0,6.0,6930.0,0.0,2 years
64262,15000,15000.0,13.11,36,debt_consolidation,33.12%,NY,RENT,4166.67,697.0,10.0,13198.0,0.0,9 years
2749,8250,8205.63,9.32,36,credit_card,24.45%,OH,MORTGAGE,3300.0,757.0,17.0,29576.0,2.0,8 years
73233,6900,6900.0,14.09,36,credit_card,17.78%,AR,OWN,4166.67,687.0,9.0,9720.0,1.0,10+ years
88842,35000,35000.0,20.49,60,debt_consolidation,12.54%,PA,MORTGAGE,10416.67,687.0,14.0,26487.0,4.0,2 years
8773,25000,23995.24,10.62,36,debt_consolidation,12.21%,VA,RENT,11166.67,752.0,6.0,28556.0,0.0,7 years
94795,9600,9600.0,11.14,36,debt_consolidation,20.58%,NV,MORTGAGE,3833.33,707.0,9.0,44403.0,1.0,5 years
71783,9000,8975.0,6.62,36,debt_consolidation,17.11%,NY,MORTGAGE,6750.0,757.0,7.0,12553.0,2.0,7 years
65113,6500,6500.0,8.9,36,credit_card,31.45%,CO,MORTGAGE,6000.0,742.0,14.0,61865.0,2.0,< 1 year
5189,1750,1750.0,11.14,36,credit_card,8.02%,CA,RENT,1833.33,722.0,4.0,1838.0,0.0,2 years
20592,5000,5000.0,5.42,36,wedding,23.15%,OH,RENT,2833.33,752.0,7.0,4573.0,0.0,3 years
71038,6000,6000.0,15.8,36,debt_consolidation,16.40%,GA,RENT,2500.0,672.0,5.0,5892.0,1.0,4 years
72764,25000,25000.0,14.09,36,debt_consolidation,19.13%,CA,RENT,6083.33,702.0,19.0,14666.0,0.0,10+ years
77043,13000,13000.0,14.33,36,debt_consolidation,11.08%,MN,MORTGAGE,3358.33,692.0,7.0,6327.0,1.0,10+ years
51326,5875,5875.0,7.9,36,other,14.75%,NV,RENT,5416.67,722.0,15.0,2617.0,2.0,4 years
57788,5000,5000.0,16.29,36,debt_consolidation,20.77%,VA,RENT,4583.33,662.0,19.0,11991.0,1.0,6 years
13386,16000,7925.0,16.45,60,debt_consolidation,16.66%,MO,MORTGAGE,5500.0,682.0,6.0,6842.0,0.0,9 years
17877,12000,12000.0,9.62,60,small_business,14.12%,GA,MORTGAGE,6666.67,732.0,10.0,6969.0,1.0,4 years
88396,35000,35000.0,12.12,36,debt_consolidation,19.90%,FL,MORTGAGE,13933.33,722.0,18.0,24288.0,0.0,1 year
19466,4800,4775.0,5.79,36,car,11.71%,NJ,RENT,2800.0,737.0,6.0,9228.0,0.0,3 years
19859,6500,6500.0,11.11,36,credit_card,13.98%,WY,MORTGAGE,2253.0,682.0,11.0,7558.0,1.0,2 years
19297,25000,25000.0,13.06,36,other,4.14%,MI,MORTGAGE,11500.0,737.0,4.0,6578.0,0.0,< 1 year
82626,1000,1000.0,7.62,36,debt_consolidation,5.59%,MD,MORTGAGE,9333.33,787.0,6.0,350.0,4.0,2 years
8078,16000,16000.0,13.48,36,debt_consolidation,15.17%,KY,MORTGAGE,4166.67,702.0,6.0,1962.0,1.0,2 years
102374,7675,2275.0,15.13,36,other,18.08%,TX,MORTGAGE,11666.67,647.0,13.0,12578.0,0.0,9 years
78732,13600,13600.0,8.9,36,debt_consolidation,10.94%,WA,RENT,10000.0,722.0,15.0,18028.0,0.0,10+ years
71751,12000,12000.0,15.31,36,debt_consolidation,32.91%,CA,RENT,5500.0,682.0,21.0,13559.0,1.0,3 years
20020,15000,15000.0,10.37,36,house,26.72%,AL,MORTGAGE,5250.0,752.0,11.0,44850.0,1.0,10+ years
89844,7125,7125.0,18.49,36,debt_consolidation,11.18%,CT,MORTGAGE,5636.75,677.0,14.0,5383.0,2.0,8 years
35991,35000,34977.35,21.67,60,house,14.25%,CA,RENT,20833.33,677.0,12.0,79792.0,0.0,6 years
92975,11575,11575.0,13.11,60,debt_consolidation,18.37%,NY,MORTGAGE,3750.0,727.0,12.0,18790.0,1.0,10+ years
5274,5000,5000.0,7.4,36,major_purchase,14.22%,GA,RENT,6000.0,782.0,7.0,1751.0,0.0,6 years
48009,5000,5000.0,7.62,36,debt_consolidation,3.04%,NY,OWN,2500.0,737.0,5.0,4864.0,0.0,3 years
1046,5000,527.49,13.24,36,debt_consolidation,13.28%,NJ,RENT,4833.0,662.0,10.0,9816.0,0.0,4 years
35719,7000,7000.0,7.9,36,debt_consolidation,12.61%,VA,MORTGAGE,6250.0,722.0,13.0,19848.0,0.0,10+ years
102294,20000,16755.89,14.5,36,debt_consolidation,25.40%,MN,MORTGAGE,6916.67,717.0,10.0,26938.0,0.0,10+ years
22561,7000,7000.0,6.92,36,debt_consolidation,17.15%,CA,RENT,4583.33,737.0,13.0,6897.0,0.0,5 years
7816,20000,19900.0,10.25,36,debt_consolidation,17.51%,DE,MORTGAGE,7833.33,762.0,14.0,49898.0,0.0,5 years
47745,6000,6000.0,7.9,36,major_purchase,20.13%,PA,MORTGAGE,7750.0,727.0,16.0,7533.0,1.0,8 years
21458,14000,14000.0,7.66,36,major_purchase,10.68%,FL,MORTGAGE,21666.67,737.0,14.0,13850.0,3.0,1 year
62166,30000,30000.0,19.05,36,debt_consolidation,14.77%,CO,MORTGAGE,9166.67,687.0,20.0,22299.0,1.0,< 1 year
42655,18225,18200.0,17.58,36,debt_consolidation,24.64%,TX,MORTGAGE,5000.0,662.0,12.0,16398.0,2.0,7 years
19255,12000,12000.0,7.29,36,other,16.15%,VA,MORTGAGE,11667.0,722.0,9.0,113671.0,0.0,4 years
51684,10000,10000.0,12.12,36,debt_consolidation,12.99%,CA,MORTGAGE,5833.33,692.0,8.0,13885.0,0.0,6 years
22667,16300,16275.0,14.91,36,credit_card,24.17%,FL,MORTGAGE,5222.0,677.0,11.0,40988.0,1.0,10+ years
587,11000,2116.76,13.87,36,debt_consolidation,20.93%,NY,OWN,4167.0,672.0,14.0,17436.0,0.0,2 years
13863,25000,20850.0,15.58,60,small_business,0.60%,CA,MORTGAGE,5666.67,787.0,2.0,0.0,4.0,10+ years
89627,24000,24000.0,12.12,36,debt_consolidation,29.01%,MD,MORTGAGE,7500.0,672.0,12.0,14804.0,1.0,< 1 year
32044,6000,6000.0,7.49,36,major_purchase,8.81%,NY,OWN,2462.75,717.0,11.0,8644.0,0.0,2 years
25141,10000,9975.0,11.49,60,debt_consolidation,22.69%,NV,MORTGAGE,5623.33,767.0,11.0,26898.0,1.0,10+ years
65250,2000,2000.0,8.9,36,car,23.70%,MI,OWN,3000.0,732.0,5.0,2117.0,1.0,10+ years
87148,6625,6600.0,11.14,36,credit_card,10.12%,PA,OWN,1916.67,692.0,10.0,5449.0,0.0,n/a
102167,20000,6350.01,16.71,36,debt_consolidation,20.83%,NY,RENT,5333.33,662.0,11.0,11881.0,4.0,1 year
3630,12000,11925.0,9.63,36,other,9.12%,WA,MORTGAGE,6250.0,747.0,8.0,5212.0,2.0,1 year
20690,4200,4200.0,7.29,36,debt_consolidation,6.58%,IL,RENT,5133.33,767.0,4.0,5475.0,1.0,4 years
103394,6950,6875.0,13.11,36,other,12.51%,TX,MORTGAGE,7916.67,717.0,5.0,1593.0,4.0,10+ years
32875,6000,6000.0,7.51,36,major_purchase,4.74%,IL,MORTGAGE,10916.0,767.0,18.0,6317.0,4.0,6 years
29116,8400,8400.0,10.99,36,debt_consolidation,24.85%,CA,MORTGAGE,7583.0,702.0,9.0,342.0,0.0,< 1 year
14340,5000,5000.0,7.88,36,home_improvement,16.61%,NJ,MORTGAGE,5833.33,727.0,18.0,19771.0,2.0,10+ years
82457,4750,4750.0,10.16,36,credit_card,32.49%,MO,MORTGAGE,3500.0,697.0,15.0,36512.0,0.0,10+ years
12895,15000,14925.0,10.75,60,moving,17.55%,NY,RENT,5761.0,787.0,12.0,2691.0,2.0,10+ years
98544,12000,12000.0,16.29,36,home_improvement,5.07%,WI,MORTGAGE,2916.67,672.0,13.0,10360.0,2.0,5 years
1324,4000,0.0,7.68,36,other,10.74%,GA,RENT,3417.0,792.0,11.0,2775.0,3.0,1 year
16593,12800,12700.0,12.61,60,debt_consolidation,9.02%,FL,RENT,5166.67,727.0,7.0,7942.0,0.0,5 years
36466,12000,11950.0,8.9,60,car,9.75%,CA,MORTGAGE,9866.0,797.0,9.0,2787.0,0.0,4 years
37814,9425,9425.0,13.49,36,credit_card,15.71%,CA,RENT,3750.0,672.0,12.0,15116.0,0.0,8 years
43682,28000,28000.0,12.42,36,debt_consolidation,2.98%,NY,MORTGAGE,27083.33,732.0,5.0,12888.0,1.0,5 years
70424,30000,29975.0,21.0,60,debt_consolidation,17.12%,TX,MORTGAGE,8666.67,712.0,8.0,47503.0,0.0,6 years
27552,9600,9600.0,18.39,36,debt_consolidation,14.69%,VA,MORTGAGE,5166.67,662.0,8.0,13041.0,1.0,10+ years
3606,7800,7242.07,12.84,36,debt_consolidation,16.77%,NY,RENT,6000.0,697.0,8.0,13835.0,0.0,4 years
39094,12000,12000.0,10.65,36,debt_consolidation,26.06%,GA,RENT,5833.33,722.0,15.0,24893.0,3.0,10+ years
83231,9600,9600.0,15.31,36,debt_consolidation,12.82%,PA,MORTGAGE,6000.0,677.0,13.0,11407.0,2.0,10+ years
9533,6000,6000.0,10.62,36,credit_card,23.38%,VA,MORTGAGE,5000.0,707.0,15.0,46125.0,1.0,2 years
19581,7500,7500.0,11.11,60,debt_consolidation,23.63%,NY,RENT,1820.0,722.0,13.0,4409.0,2.0,2 years
50339,7000,6950.0,6.03,36,debt_consolidation,8.29%,FL,OWN,2750.0,762.0,8.0,10860.0,0.0,4 years
35460,10000,10000.0,11.71,36,debt_consolidation,5.85%,NY,RENT,4333.33,687.0,8.0,7072.0,0.0,10+ years
102138,3200,2799.99,12.61,36,credit_card,16.72%,CA,MORTGAGE,6476.0,667.0,14.0,80837.0,4.0,10+ years
13279,13000,12850.0,10.38,36,debt_consolidation,11.72%,VA,MORTGAGE,10533.33,727.0,13.0,37252.0,0.0,< 1 year
71487,35000,35000.0,24.7,60,debt_consolidation,8.26%,AL,MORTGAGE,10000.0,662.0,12.0,21391.0,2.0,10+ years
97364,20800,20775.0,6.62,36,credit_card,15.64%,CA,MORTGAGE,10833.33,712.0,11.0,15192.0,0.0,10+ years
77135,1600,1600.0,16.29,36,debt_consolidation,7.80%,OR,RENT,2666.67,662.0,7.0,5504.0,2.0,6 years
67373,10050,9900.0,6.03,36,small_business,20.72%,TX,RENT,2500.0,752.0,11.0,13669.0,0.0,9 years
51379,8000,7997.85,17.99,36,debt_consolidation,21.11%,CA,MORTGAGE,8583.33,672.0,15.0,14584.0,3.0,5 years
97075,16000,16000.0,12.12,36,debt_consolidation,24.30%,CT,RENT,6250.0,717.0,8.0,10304.0,2.0,< 1 year
46056,11700,11675.0,7.9,36,home_improvement,5.63%,CA,MORTGAGE,3320.83,722.0,11.0,14301.0,0.0,10+ years
72277,13475,13475.0,12.12,36,debt_consolidation,28.27%,FL,MORTGAGE,5666.67,707.0,12.0,7722.0,1.0,7 years
31190,14500,14500.0,5.42,36,home_improvement,7.15%,OH,MORTGAGE,10000.0,802.0,9.0,40.0,0.0,10+ years
103224,5000,5000.0,14.61,36,other,6.36%,CA,RENT,3083.33,667.0,8.0,4680.0,4.0,5 years
53652,13600,13575.0,6.62,36,debt_consolidation,17.31%,CA,MORTGAGE,11250.0,752.0,11.0,77377.0,1.0,4 years
75321,2200,2200.0,8.9,36,debt_consolidation,14.02%,CA,RENT,7083.33,717.0,10.0,14980.0,1.0,10+ years
49761,9000,9000.0,9.76,36,credit_card,18.67%,NY,MORTGAGE,5833.33,707.0,12.0,12035.0,0.0,10+ years
87513,27925,27925.0,22.47,60,debt_consolidation,3.94%,FL,MORTGAGE,7000.0,687.0,14.0,9914.0,2.0,n/a
80353,9450,9450.0,14.33,36,debt_consolidation,24.51%,NY,RENT,2916.67,672.0,12.0,11555.0,0.0,4 years
25236,15175,15175.0,20.25,60,debt_consolidation,18.78%,WA,RENT,4333.33,667.0,6.0,18049.0,0.0,8 years
30497,10000,10000.0,7.49,36,debt_consolidation,7.77%,AZ,RENT,3166.67,737.0,4.0,0.0,0.0,1 year
96700,16000,16000.0,16.29,36,debt_consolidation,20.62%,FL,RENT,5416.67,682.0,13.0,14246.0,1.0,< 1 year
85272,13200,13200.0,15.31,36,debt_consolidation,8.61%,KY,MORTGAGE,3333.33,682.0,10.0,5400.0,3.0,10+ years
60220,20000,20000.0,18.75,60,other,6.30%,PA,RENT,15416.67,697.0,13.0,15026.0,3.0,< 1 year
78437,8500,8500.0,17.77,36,other,18%,MI,RENT,2583.33,667.0,9.0,13718.0,0.0,2 years
40066,3000,3000.0,14.27,36,debt_consolidation,10.77%,NY,OWN,3833.0,672.0,11.0,5515.0,1.0,< 1 year
91905,10000,10000.0,15.31,36,credit_card,18.99%,FL,MORTGAGE,5583.33,677.0,16.0,12723.0,1.0,2 years
99247,14075,14075.0,16.29,36,debt_consolidation,11.02%,NY,MORTGAGE,10416.67,702.0,10.0,7653.0,3.0,10+ years
62996,19000,19000.0,19.72,60,credit_card,19.85%,NY,RENT,4500.0,682.0,13.0,11388.0,1.0,3 years
2088,25000,11696.88,12.84,36,small_business,5.52%,IL,MORTGAGE,8666.67,762.0,9.0,1900.0,4.0,10+ years
84001,9000,9000.0,13.11,36,credit_card,23.88%,GA,MORTGAGE,4229.17,687.0,11.0,7496.0,0.0,1 year
80275,6775,6775.0,13.11,36,debt_consolidation,10.20%,NC,RENT,6666.67,687.0,14.0,5457.0,2.0,< 1 year
24608,2200,2200.0,15.23,36,debt_consolidation,16.20%,CA,RENT,2500.0,677.0,7.0,2476.0,2.0,2 years
2891,10800,10550.0,8.0,36,home_improvement,6.82%,CA,MORTGAGE,11250.0,792.0,7.0,10232.0,2.0,< 1 year
94245,16800,16800.0,14.33,60,debt_consolidation,21.75%,WV,MORTGAGE,6666.67,677.0,14.0,23740.0,0.0,1 year
25703,3500,3500.0,15.62,36,home_improvement,14.41%,GA,MORTGAGE,6833.33,662.0,7.0,11526.0,3.0,8 years
24038,9250,9250.0,18.79,60,debt_consolidation,19.27%,AK,MORTGAGE,4448.0,662.0,9.0,22704.0,0.0,10+ years
31842,23400,23400.0,7.49,36,debt_consolidation,15.66%,TX,RENT,5580.0,742.0,6.0,2086.0,0.0,1 year
81514,10375,10375.0,7.9,36,debt_consolidation,27.64%,MD,MORTGAGE,4500.0,747.0,7.0,0.0,0.0,5 years
66437,9325,9300.0,14.09,36,debt_consolidation,21.35%,DC,RENT,3333.33,697.0,10.0,27007.0,1.0,< 1 year
49263,18000,18000.0,21.48,60,debt_consolidation,15.82%,NY,RENT,6500.0,667.0,10.0,4256.0,0.0,10+ years
68113,5375,5375.0,8.9,36,debt_consolidation,29.48%,NC,RENT,3416.67,722.0,6.0,3007.0,2.0,< 1 year
99898,3700,3700.0,15.8,36,credit_card,32.20%,NY,RENT,3000.0,692.0,9.0,14151.0,0.0,1 year
65485,19125,19125.0,18.49,36,debt_consolidation,9.10%,MA,RENT,4166.67,677.0,8.0,19761.0,3.0,10+ years
67349,1625,1625.0,15.31,36,major_purchase,4.32%,TX,OWN,1666.67,747.0,3.0,1759.0,4.0,3 years
39590,26000,25975.0,16.77,60,home_improvement,11.77%,NC,MORTGAGE,4416.67,732.0,5.0,7560.0,1.0,10+ years
36450,6650,6650.0,18.25,60,debt_consolidation,17.12%,OH,MORTGAGE,3084.0,682.0,16.0,5646.0,2.0,3 years
31456,1000,1000.0,11.49,36,debt_consolidation,21.36%,CA,RENT,4666.67,672.0,16.0,26558.0,0.0,10+ years
2407,18000,17896.62,14.42,36,wedding,7.89%,TX,MORTGAGE,5833.33,722.0,5.0,18505.0,1.0,3 years
3841,8000,7975.0,12.84,36,wedding,16.73%,TX,MORTGAGE,3521.0,682.0,13.0,4075.0,0.0,3 years
103033,4575,4575.0,15.65,36,credit_card,14.31%,MS,OTHER,5833.33,682.0,25.0,82586.0,2.0,2 years
52353,35000,34950.0,21.97,60,debt_consolidation,19.32%,RI,MORTGAGE,14166.67,692.0,14.0,51314.0,3.0,3 years
51625,10000,10000.0,12.12,36,debt_consolidation,12.46%,CA,MORTGAGE,4375.0,697.0,7.0,11070.0,0.0,5 years
91179,32350,32350.0,18.49,36,debt_consolidation,20.14%,CT,OWN,6000.0,662.0,15.0,39513.0,1.0,3 years
16680,16000,16000.0,12.98,36,debt_consolidation,15.86%,CA,MORTGAGE,3600.0,702.0,9.0,26357.0,2.0,3 years
73961,13750,13750.0,14.09,36,credit_card,24.77%,CA,RENT,3000.0,692.0,12.0,16734.0,1.0,1 year
95827,5600,5600.0,11.14,36,credit_card,27.96%,NC,MORTGAGE,11666.67,667.0,18.0,194205.0,0.0,10+ years
79106,21000,20950.0,23.76,60,debt_consolidation,24.82%,KS,RENT,7458.33,662.0,14.0,11973.0,0.0,10+ years
53903,12000,12000.0,7.9,36,home_improvement,21.99%,MN,MORTGAGE,5416.67,732.0,8.0,28146.0,0.0,10+ years
31290,12000,12000.0,13.49,36,debt_consolidation,16.29%,NV,MORTGAGE,6250.0,682.0,13.0,13528.0,1.0,7 years
26608,3600,3600.0,13.99,36,other,10%,NY,RENT,5750.0,672.0,8.0,10766.0,2.0,4 years
16549,25000,15175.0,16.32,60,debt_consolidation,22.19%,PA,MORTGAGE,7083.33,707.0,8.0,9133.0,0.0,4 years
16631,8400,8400.0,9.25,60,car,22.47%,NM,MORTGAGE,4833.33,762.0,6.0,19187.0,0.0,3 years
92743,24375,24300.0,15.8,60,debt_consolidation,30.61%,PA,MORTGAGE,4708.33,702.0,18.0,49136.0,0.0,10+ years
83058,8575,8575.0,15.8,36,debt_consolidation,34.41%,KY,MORTGAGE,4541.67,677.0,15.0,5180.0,1.0,10+ years
87620,13800,13800.0,12.12,36,debt_consolidation,17.11%,CA,RENT,4250.0,697.0,8.0,11366.0,0.0,< 1 year
31254,17000,17000.0,11.49,36,debt_consolidation,13.69%,MI,RENT,5083.33,697.0,9.0,13883.0,0.0,4 years
58027,11000,11000.0,13.67,36,debt_consolidation,13.44%,LA,MORTGAGE,4666.67,677.0,8.0,10482.0,0.0,6 years
12131,7800,7800.0,14.35,36,other,21.89%,CA,RENT,2508.33,682.0,5.0,25780.0,0.0,< 1 year
30255,3725,3725.0,10.59,36,credit_card,18.57%,NY,RENT,11666.67,697.0,21.0,43987.0,0.0,10+ years
57001,11000,11000.0,17.27,36,other,11.44%,WI,MORTGAGE,5000.0,667.0,7.0,10070.0,3.0,10+ years
61049,8500,8500.0,15.31,36,debt_consolidation,7.56%,CO,RENT,3333.33,672.0,5.0,8844.0,0.0,< 1 year
58569,10000,10000.0,9.76,36,credit_card,6.83%,MA,RENT,4583.33,707.0,14.0,13511.0,0.0,7 years
37224,12000,12000.0,11.71,60,debt_consolidation,23.30%,CT,MORTGAGE,4000.0,727.0,8.0,15010.0,0.0,10+ years
59159,31500,31425.0,12.12,60,other,21.32%,IL,RENT,5250.0,757.0,10.0,11936.0,0.0,10+ years
84476,19000,19000.0,15.31,60,debt_consolidation,27.65%,FL,RENT,3617.21,707.0,8.0,25692.0,0.0,3 years
94507,12000,12000.0,10.16,36,debt_consolidation,14.22%,CO,MORTGAGE,8791.67,697.0,10.0,17185.0,2.0,8 years
69461,19125,19125.0,10.16,36,debt_consolidation,25.58%,FL,RENT,4000.0,727.0,5.0,0.0,0.0,5 years
8194,6525,6500.0,16.07,36,other,10.11%,MD,RENT,3166.67,702.0,3.0,2494.0,1.0,1 year
72283,8975,8975.0,7.9,36,debt_consolidation,21.51%,NJ,MORTGAGE,9166.67,727.0,18.0,61613.0,3.0,10+ years
32215,6000,5975.0,6.03,36,other,11.41%,NY,MORTGAGE,6250.0,782.0,9.0,89985.0,2.0,n/a
47228,20800,20800.0,19.22,60,credit_card,15.50%,TX,RENT,6916.67,682.0,20.0,28764.0,1.0,10+ years
41426,8400,8400.0,14.27,36,debt_consolidation,11.95%,NC,MORTGAGE,4166.67,682.0,10.0,16634.0,1.0,10+ years
79725,20000,20000.0,18.49,36,debt_consolidation,12.83%,FL,MORTGAGE,13583.33,677.0,17.0,30679.0,1.0,< 1 year
85720,18550,18550.0,12.12,36,debt_consolidation,11.37%,FL,MORTGAGE,3941.0,712.0,14.0,9438.0,0.0,n/a
65819,9600,9600.0,12.12,36,credit_card,25.35%,CT,RENT,4750.0,687.0,11.0,29475.0,0.0,5 years
60947,6000,6000.0,6.03,36,major_purchase,12.68%,TX,MORTGAGE,6666.67,777.0,13.0,8581.0,0.0,10+ years
66542,14000,14000.0,15.31,36,credit_card,11.35%,AZ,RENT,7333.33,682.0,7.0,6229.0,1.0,< 1 year
17609,17000,16573.33,12.98,36,debt_consolidation,15.72%,AL,RENT,4333.33,707.0,5.0,19053.0,0.0,10+ years
41569,13250,13225.0,10.65,36,credit_card,24.96%,NJ,RENT,3333.33,702.0,13.0,16192.0,0.0,1 year
53373,13000,13000.0,9.76,36,credit_card,24.50%,TX,RENT,4166.67,707.0,10.0,15534.0,0.0,6 years
65052,20000,20000.0,12.12,36,debt_consolidation,16.35%,FL,MORTGAGE,4166.67,702.0,7.0,15917.0,0.0,1 year
63133,7000,7000.0,15.31,36,credit_card,15.64%,CO,RENT,2666.67,672.0,11.0,11529.0,0.0,5 years
85485,12000,12000.0,17.27,36,debt_consolidation,15.07%,CO,MORTGAGE,4166.67,667.0,7.0,12318.0,1.0,< 1 year
49712,4200,4200.0,7.62,36,debt_consolidation,6.75%,IL,OWN,10416.67,737.0,15.0,10819.0,1.0,2 years
1973,15000,7100.0,11.89,36,debt_consolidation,12.42%,FL,MORTGAGE,5000.0,717.0,15.0,31563.0,3.0,< 1 year
